Temperature,Metallicity,Altitude,Degree,CO Degree,CH4 Degree,NH3 Degree,H2O Degree,Average shortest path length,Average clustering coefficient,CO clustering coefficient,CH4 clustering coefficient,NH3 clustering coefficient,H2O clustering coefficient,Average node betweenness centrality,CO node betweenness centrality,CH4 node betweenness centrality,NH3 node betweenness centrality,H2O node betweenness centrality,Edge betweenness centrality,Average neighbor degree,CO neighbor degree,CH4 neighbor degree,NH3 neighbor degree,H2O neighbor degree,CO abundance,CH4 abundance,NH3 abundance,H2O abundance,Phi distribution
1922.33753161,1,29,47.641497419,48.6872221242,45.7856193561,47.1153062137,45.160473564,38.562834414,-6.59569578862,-5.90677772596,-5.77221109946,-6.2696014293,-6.6162525627,-0.975596780491,-0.738884030953,0,-1.42893321124,-0.820323475768,-1.77326198398,27.3086771515,1.1760947732,1.5250960662,1.49133842956,1.54905908161,-3.33325482177,-6.51600872222,-6.51405484122,-3.46831299154,0
2113.73293514,1,29,48.5511922552,49.588687046,45.9214960732,47.476825795,46.3514073246,38.8603733641,-6.74337740184,-5.80730664832,-6.38694152037,-6.60894175336,-6.81482744112,-0.966790071504,-0.769126350033,0,-1.42893321124,-0.879535369373,-1.7658584829,27.3177519222,1.17609436027,1.52517477765,1.49134544634,1.56617632609,-3.3333777945,-7.05971788231,-6.65204851843,-3.46905052074,0
2019.90426145,1,29,48.1282671473,49.1718431831,45.8565991947,47.3093949562,45.7872789479,38.7218780229,-6.70263588119,-5.85575026161,-6.10768386811,-6.4816418277,-6.72805022304,-0.960125601869,-0.749940805002,0,-1.42893321124,-0.835235872646,-1.76015517433,27.3161984644,1.17609452141,1.52512982483,1.49134233431,1.56212792233,-3.33323586092,-6.80633724894,-6.58758369221,-3.46867440183,0
1988.84878454,1,29,47.9803867637,49.025303837,45.8345273392,47.2506233767,45.59352656,38.6735231139,-6.67866984665,-5.87189825001,-6.0068514528,-6.42655219131,-6.69589381715,-0.962918650255,-0.744732807401,0,-1.42893321124,-0.823647052145,-1.76255144386,27.3143850177,1.17609458857,1.52511721608,1.49134119387,1.55943280554,-3.33321730631,-6.71797941912,-6.56516347126,-3.46855824014,0
1913.83681924,1,29,47.5981844348,48.6440123623,45.7793684936,47.0980115119,45.1051256522,38.5486874425,-6.58509098761,-5.91123562413,-5.74222203644,-6.24954176681,-6.60607372276,-0.977217154997,-0.738136506825,0,-1.42893321124,-0.819898694012,-1.77463088348,27.307947637,1.1760947968,1.52509336306,1.49133807625,1.54773323012,-3.33325961657,-6.49019512336,-6.50752271703,-3.46828164666,0
2119.9272059,1,29,48.5766699592,49.6136100791,45.9255895111,47.4868505672,46.3859698014,38.8687588567,-6.74350414149,-5.80415136336,-6.40128833917,-6.61413165909,-6.81983848896,-0.971007545209,-0.770107067729,0,-1.42893321124,-0.87949379073,-1.76952100548,27.3168980691,1.17609435331,1.52517860427,1.49134562128,1.5662674135,-3.33339671994,-7.0750931662,-6.65598445559,-3.46908396176,0
1959.97877645,1,29,47.8332877738,48.8785554094,45.8132982418,47.191887337,45.4055547064,38.6254773544,-6.6426539603,-5.88703810542,-5.90500298955,-6.35842582818,-6.66132457422,-0.96842174494,-0.742194075744,0,-1.42893321124,-0.822204413905,-1.76720048243,27.3119074498,1.17609466871,1.52510803572,1.49133999399,1.55492996608,-3.33323359035,-6.63031161259,-6.54297915661,-3.46845178704,0
1882.7437035,1,29,47.4300951243,48.4744995534,45.7557279753,47.0303267047,44.9039598144,38.4935141243,-6.5278521195,-5.92762070812,-5.62386032606,-6.15515678473,-6.56267111529,-0.979159343907,-0.696424876856,0,-1.42893321124,-0.829575631448,-1.77600337225,27.2413345446,1.17609490708,1.52508534714,1.49133660847,1.5386927518,-3.33332568239,-6.38977353156,-6.48214434382,-3.46812709917,0
1864.27843829,1,29,47.3256704744,48.3683718867,45.7413187295,46.9880231896,44.785103294,38.4591160496,-6.48507416412,-5.93738912482,-5.54944006631,-6.08909839644,-6.53395686006,-0.978415294415,-0.653092957421,0,-1.42893321124,-0.840670399833,-1.77508771938,27.1713252088,1.17609498398,1.52508147785,1.49133565323,1.53132821966,-3.33338802536,-6.32727760107,-6.46636538074,-3.4680163195,0
2046.91512194,1,29,48.2518425288,49.2937824763,45.8754240245,47.3583629354,45.9516803247,38.7623136394,-6.71628047526,-5.84177258605,-6.19113204056,-6.52069119163,-6.75356775026,-0.95921985328,-0.755677548075,0,-1.42893321124,-0.850206175032,-1.75934020419,27.3173607293,1.17609447227,1.52514212337,1.491343253,1.56342507225,-3.33326957577,-6.88028991915,-6.60638057653,-3.46877623883,0
1990.92067401,1,29,47.9909434926,49.0358354074,45.8360508699,47.2548386365,45.6070165771,38.6769711733,-6.68125456832,-5.8708117208,-6.01416072539,-6.43144135843,-6.6983747188,-0.96252371431,-0.744915002411,0,-1.42893321124,-0.823750584745,-1.76221780024,27.3145628232,1.17609458282,1.52511787492,1.49134127998,1.55975595701,-3.33321613767,-6.7242710005,-6.56675555422,-3.46856587987,0
1912.40653539,1,29,47.5908968266,48.6367421217,45.7783167573,47.095101599,45.0958131121,38.5463071496,-6.5833066812,-5.91198568594,-5.73717623903,-6.24616663659,-6.60436108626,-0.97748979044,-0.738010732461,0,-1.42893321124,-0.819827222533,-1.7748612071,27.3078248928,1.17609480077,1.52509290824,1.49133801681,1.54751014953,-3.33326042332,-6.48585186695,-6.50642365717,-3.46827637273,0
2136.53539933,1,29,48.6449812507,49.6804341769,45.9365649125,47.5137291719,46.4786393541,38.8912421948,-6.74384395818,-5.79569135494,-6.43975529528,-6.6280469304,-6.83327420318,-0.982315513771,-0.77273658617,0,-1.42893321124,-0.879382309305,-1.77934102881,27.3146087026,1.17609433465,1.52518886428,1.49134609033,1.56651163873,-3.33344746316,-7.11631766197,-6.66653756314,-3.46917362445,0
1958.48651948,1,29,47.8256843989,48.8709701547,45.8122009346,47.1888513398,45.395838661,38.6229939252,-6.64079234123,-5.88782066685,-5.89973856154,-6.35490445611,-6.65953773046,-0.968706193472,-0.742062851672,0,-1.42893321124,-0.822129845621,-1.7674407858,27.3117793872,1.17609467286,1.5251075612,1.49133993197,1.55469721958,-3.33323443205,-6.62578016615,-6.54183247531,-3.46844628461,0
