,Temperature,Metallicity,Altitude,Degree,CO Degree,CH4 Degree,NH3 Degree,H2O Degree,Average shortest path length,Average clustering coefficient,CO clustering coefficient,CH4 clustering coefficient,NH3 clustering coefficient,H2O clustering coefficient,Average node betweenness centrality,CO node betweenness centrality,CH4 node betweenness centrality,NH3 node betweenness centrality,H2O node betweenness centrality,Edge betweenness centrality,Average neighbor degree,CO neighbor degree,CH4 neighbor degree,NH3 neighbor degree,H2O neighbor degree,CO abundance,CH4 abundance,NH3 abundance,H2O abundance,Phi distribution
0,1181.2517451,1.0,29,44.9970714059,39.8073795446,44.4264269952,46.0938593862,44.116609815,33.7642361018,-4.95023845238,-11.109140553,-3.89512638302,-3.68980540235,-5.72346004696,-1.03308177472,-0.433802827158,-0.296380392063,-1.625758846,-0.788599184032,-1.77443721169,27.1047597617,1.17824146824,1.51921328645,1.49098349234,1.42324442711,-5.48029362119,-3.33762525212,-3.90991120094,-3.09701520484,68.1726442534
1,1302.68363263,1.0,29,45.8965346943,43.0664145778,45.3686965905,46.9920395528,44.7908014057,36.5516986466,-4.99804421053,-9.16882025284,-3.93752949895,-3.75311707371,-5.63958091783,-1.04708642916,-0.471018410578,0.0,-1.60768015657,-0.806898576469,-1.81773430605,27.1734090106,1.17659840837,1.52231730486,1.49114089261,1.42324346256,-3.90635160228,-3.47849743465,-3.91326569115,-3.16976655914,57.9649339403
2,1177.51984524,1.0,29,44.9653527697,39.6835684599,44.3888062544,46.0622621671,44.0903117049,33.664240551,-4.95142060806,-11.1785033012,-3.89642115841,-3.69069528627,-5.72830775247,-1.03272401208,-0.431222610452,-0.355375853098,-1.62882865766,-0.786896850488,-1.77186205434,27.1048549287,1.17838093548,1.51903644162,1.49097851324,1.42324446622,-5.54422552232,-3.33738584705,-3.90935806185,-3.09687767738,68.2124380151
3,1120.38803649,1.0,29,44.4797708607,37.7881394589,43.8128687824,45.5785390375,43.6877128527,32.1334045399,-4.96951827818,-12.2403804739,-3.91624292825,-3.7043185559,-5.80252147611,-1.0272470091,-0.391721966495,-1.25853979894,-1.67582453106,-0.760835756062,-1.73243886434,27.1063118445,1.18051604515,1.51632911682,1.49090228798,1.42324506493,-6.52296163315,-3.33372078506,-3.9008900327,-3.09477226382,68.8216423549
4,1298.34588804,1.0,29,45.8727395528,42.9794673493,45.3516621519,46.9681566107,44.7783666377,36.489830368,-4.98991935252,-9.22211690683,-3.92955908567,-3.74414500516,-5.63920037297,-1.04692323091,-0.470958369824,0.0,-1.60944927524,-0.806938114434,-1.81707001766,27.1685822346,1.17662374984,1.52223635888,1.49113535831,1.42324337162,-3.94001734418,-3.46089707832,-3.90866863431,-3.16330397631,57.9536529524
5,1268.832977,1.0,29,45.6577767653,42.214203895,45.1307226774,46.7534221787,44.6194251418,35.8226521451,-4.97622917247,-9.68382804491,-3.91727406718,-3.72649648079,-5.65717769936,-1.04330887069,-0.463698192064,0.0,-1.60971560872,-0.804001171573,-1.80815852411,27.1492860843,1.1768989547,1.52159576767,1.4910972909,1.42324362941,-4.30585958545,-3.42426499567,-3.90987543345,-3.14361851773,60.9603073933
6,1234.51474945,1.0,29,45.4078135595,41.3243396141,44.8738096554,46.5037245095,44.4346046606,35.046843414,-4.96030994603,-10.2207153712,-3.90298879184,-3.70597440912,-5.67808210886,-1.03910601736,-0.455255906175,0.0,-1.61002530685,-0.800586033254,-1.79779605383,27.1268481188,1.17721896864,1.52085087488,1.49105302533,1.42324392917,-4.73126856208,-3.38166844711,-3.91127872462,-3.12072785655,64.4565077893
7,1311.52761624,1.0,29,45.9352476074,43.2116038287,45.3840255038,47.031083994,44.802423293,36.6323563361,-5.02229125965,-9.07845986662,-3.96152711108,-3.77942500356,-5.64415550857,-1.04695666444,-0.469875288255,0.0,-1.60189917139,-0.806225811176,-1.81827749245,27.185751693,1.17656572645,1.52246574438,1.49115209983,1.42324380987,-3.86297798902,-3.52973376865,-3.92863831715,-3.18742818012,58.5574536528
8,1260.11123783,1.0,29,45.5942503527,41.9880510686,45.0654300172,46.6899632504,44.5724543002,35.6254857445,-4.97218341164,-9.8202742299,-3.91364356367,-3.72128093881,-5.66249040984,-1.04224074471,-0.461552643741,0.0,-1.60979431635,-0.803133237889,-1.80552497426,27.1435836312,1.17698028402,1.52140645834,1.49108604111,1.42324370559,-4.41397432216,-3.41343937871,-3.91023207015,-3.13780101518,61.8488424409
9,1261.84218748,1.0,29,45.6068580471,42.0329342218,45.0783882478,46.7025575516,44.5817763127,35.6646161411,-4.97298634878,-9.79319459916,-3.91436408726,-3.72231603518,-5.66143602904,-1.04245272907,-0.461978457452,0.0,-1.60977869574,-0.803305491322,-1.80604763862,27.1447153618,1.17696414309,1.5214440294,1.49108827379,1.42324369047,-4.39251745879,-3.41558787198,-3.91016129067,-3.13895557894,61.6725003835
