Temperature,Metallicity,Altitude,Degree,CO Degree,CH4 Degree,NH3 Degree,H2O Degree,Average shortest path length,Average clustering coefficient,CO clustering coefficient,CH4 clustering coefficient,NH3 clustering coefficient,H2O clustering coefficient,Average node betweenness centrality,CO node betweenness centrality,CH4 node betweenness centrality,NH3 node betweenness centrality,H2O node betweenness centrality,Edge betweenness centrality,Average neighbor degree,CO neighbor degree,CH4 neighbor degree,NH3 neighbor degree,H2O neighbor degree,CO abundance,CH4 abundance,NH3 abundance,H2O abundance,Phi distribution,kzz
0,1922.33753161,1.0,29,47.6415280759,48.6872218642,45.7856508389,47.1164651563,45.1605700414,38.5628673714,-6.59541493206,-5.90677253918,-5.77192211141,-6.2686022963,-6.61549468326,-0.975596780491,-0.738884030953,0.0,-1.42893321124,-0.820323475768,-1.77326198398,27.308585351,1.17609477329,1.52509606474,1.49133843023,1.54900958004,-3.33325508736,-6.51597630015,-6.51289494454,-3.46832549289,82.5970293406,2
1,2113.73293514,1.0,29,48.5511894249,49.5886852806,45.9215222458,47.4768669694,46.3513864626,38.8603978353,-6.74336953738,-5.80730656759,-6.38691173589,-6.60890208307,-6.81481110103,-0.966790071504,-0.769126350033,0.0,-1.42893321124,-0.879535369373,-1.7658584829,27.3177526552,1.17609436027,1.52517477582,1.49134544671,1.56617608102,-3.33337957942,-7.05968597104,-6.65200163524,-3.46906040266,82.6032543052,2
2,2019.90426145,1.0,29,48.128268207,49.1718421117,45.8566180043,47.3095811573,45.7872698488,38.7218961448,-6.70259846065,-5.8557497206,-6.10762551665,-6.48147045604,-6.72793825284,-0.960125601869,-0.749940805002,0.0,-1.42893321124,-0.835235872646,-1.76015517433,27.316190263,1.17609452141,1.52512982428,1.49134233479,1.56212511347,-3.33323693988,-6.80631652775,-6.58739558031,-3.46868502578,82.5976947194,2
3,1988.84878454,1.0,29,47.9803928378,49.025303043,45.834547015,47.250979394,45.5935346925,38.6735426362,-6.67859130308,-5.87189694578,-6.00675368298,-6.4262346946,-6.69566940217,-0.962918650255,-0.744732807401,0.0,-1.42893321124,-0.823647052145,-1.76255144386,27.3143629906,1.17609458859,1.52511721558,1.4913411944,1.55942275244,-3.33321810613,-6.71795858393,-6.56480628897,-3.46856931113,82.5969372115,2
4,1913.83681924,1.0,29,47.5982182336,48.6440121706,45.7794014854,47.0992730753,45.1052334209,38.548722117,-6.58478427371,-5.91122994112,-5.74190860904,-6.24845551481,-6.60524766196,-0.977217154997,-0.738136506825,0.0,-1.42893321124,-0.819898694012,-1.77463088348,27.3078469187,1.1760947969,1.52509336148,1.49133807694,1.5476786867,-3.33325981388,-6.49016122038,-6.50626022652,-3.46829433081,82.5970411155,2
5,2119.9272059,1.0,29,48.576666995,49.6136083417,45.9256169838,47.486890214,46.3859480258,38.8687846452,-6.74349653374,-5.80415128644,-6.40125808309,-6.61409359699,-6.81982352836,-0.971007545209,-0.770107067729,0.0,-1.42893321124,-0.87949379073,-1.76952100548,27.3168989705,1.17609435331,1.52517860222,1.49134562165,1.56626718071,-3.33339847919,-7.07505952671,-6.65593867618,-3.46909388511,82.6043590133,2
6,1959.97877645,1.0,29,47.8333045183,48.8785548472,45.8133230425,47.1925918737,45.4056011861,38.6255027083,-6.64248760034,-5.88703511593,-5.90482221916,-6.35781245905,-6.66086860258,-0.96842174494,-0.742194075744,0.0,-1.42893321124,-0.822204413905,-1.76720048243,27.3118551367,1.17609466876,1.5251080348,1.49133999458,1.5549027899,-3.33323415828,-6.63028574797,-6.5422735465,-3.46846347889,82.5969772013,2
7,1882.7437035,1.0,29,47.4302414874,48.4744992998,45.7557800971,47.0334128899,44.9046550114,38.4935696279,-6.52701727163,-5.92760126047,-5.62311558582,-6.15262782784,-6.5605784278,-0.982024443256,-0.696133740937,0.0,-1.42893321124,-0.828998699088,-1.77873981927,27.2410130759,1.17609490743,1.52508534164,1.49133660923,1.53848539426,-3.33332594173,-6.38972038799,-6.47905709941,-3.4681402082,82.5971205027,2
8,1864.27843829,1.0,29,47.3259318156,48.3683714481,45.7413886933,46.9928830876,44.7864074077,38.4591908508,-6.48371921881,-5.93735581247,-5.54827636316,-6.08517739999,-6.53062756229,-0.98434622074,-0.652490288727,0.0,-1.42893321124,-0.83947611548,-1.78075232772,27.1707830563,1.17609498459,1.52508146836,1.49133565402,1.53096612363,-3.33338847,-6.3272064483,-6.46150423503,-3.46802956477,82.5971849427,2
9,2046.91512194,1.0,29,48.2518423767,49.2937811501,45.8754443451,47.3585013709,45.951667942,38.7623329178,-6.71625283005,-5.84177219742,-6.19108367539,-6.52056303153,-6.75348699822,-0.95921985328,-0.755677548075,0.0,-1.42893321124,-0.850206175032,-1.75934020419,27.317355415,1.17609447227,1.52514212255,1.49134325344,1.56342311879,-3.33327091199,-6.88026671642,-6.60623926624,-3.46878658157,82.5987436483,2
10,1990.92067401,1.0,29,47.9909488009,49.0358345968,45.8360701778,47.2551696418,45.6070219577,38.6769902771,-6.681182327,-5.87081053752,-6.0140689122,-6.43114509535,-6.69816692174,-0.96252371431,-0.744915002411,0.0,-1.42893321124,-0.823750584745,-1.76221780024,27.3145429696,1.17609458284,1.52511787444,1.4913412805,1.55974713277,-3.33321695413,-6.72425052625,-6.56642337725,-3.4685769063,82.5969343416,2
11,1912.40653539,1.0,29,47.590931154,48.6367419415,45.778350003,47.0963804289,45.0959227806,38.546342113,-6.58299561668,-5.91197991945,-5.7368586996,-6.24506572641,-6.60352355363,-0.97748979044,-0.738010732461,0.0,-1.42893321124,-0.819827222533,-1.7748612071,27.3077226741,1.17609480087,1.52509290664,1.4913380175,1.54745475779,-3.33326060913,-6.48581771481,-6.50514390478,-3.46828908765,82.5970430967,2
12,2136.53539933,1.0,29,48.6449779276,49.6804325142,45.9365958711,47.5137647229,46.4786151286,38.891271515,-6.74383703875,-5.79569128822,-6.43972377476,-6.62801318021,-6.83326294131,-0.982315513771,-0.77273658617,0.0,-1.42893321124,-0.879382309305,-1.77934102881,27.3146100552,1.17609433465,1.52518886163,1.49134609069,1.5665114389,-3.33344915359,-7.11627938875,-6.66649474322,-3.46918365886,82.607320977,2
13,1958.48651948,1.0,29,47.825701695,48.8709696045,45.8122260002,47.189573891,45.3958871228,38.6230195806,-6.64062144215,-5.88781759024,-5.89955350095,-6.35427579367,-6.65906978993,-0.968706193472,-0.742062851672,0.0,-1.42893321124,-0.822129845621,-1.7674407858,27.3117255087,1.17609467291,1.52510756026,1.49133993256,1.55466915832,-3.33323498799,-6.62575404157,-6.54110885538,-3.46845800855,82.5969792683,2
14,2156.19060276,1.0,29,48.7258214753,49.7595165345,45.9495889919,47.545569744,46.5882833333,38.9178839218,-6.74424001425,-5.78567918264,-6.4852465463,-6.64448650954,-6.84916800628,-0.995698090481,-0.77584852728,0.0,-1.42893321124,-0.879250375023,-1.79096267552,27.3119012057,1.17609431258,1.52520100328,1.49134664578,1.56680050973,-3.33350912494,-7.1650616225,-6.67898747135,-3.46928990289,82.6108263553,2
15,1981.27249476,1.0,29,47.9417927886,48.9867922518,45.8289772567,47.2356568914,45.544215735,38.6609356285,-6.66911669146,-5.87586962093,-5.98000404352,-6.40827880479,-6.68653670843,-0.964362814728,-0.744066573895,0.0,-1.42893321124,-0.823268463912,-1.76377148035,27.3137048603,1.17609460963,1.52511480629,1.49134087953,1.55823658907,-3.33322231866,-6.69495080336,-6.55889307322,-3.46854153782,82.5969477059,2
16,1771.45405202,1.0,29,46.7904338952,47.8124763791,45.6674836779,46.8010928974,44.2456098622,38.2795315543,-6.21976046513,-5.9860162823,-5.14929253864,-5.69190026393,-6.35057106059,-0.989430183221,-0.497440706064,0.0,-1.42893321124,-0.875948484297,-1.78464867996,27.050116954,1.17609544131,1.52506412956,1.49133043931,1.48911416273,-3.33389123758,-6.00132565418,-6.34981160499,-3.46724284852,82.5973989965,2
17,1818.05522735,1.0,29,47.0648184276,48.1027066975,45.7053633835,46.8914267815,44.4904038645,38.3731321104,-6.37533328412,-5.96177391369,-5.3609349339,-5.91633198568,-6.45565300013,-0.990158214731,-0.543239732349,0.0,-1.42893321124,-0.86570372838,-1.78579014339,26.9949796236,1.17609517775,1.52507177259,1.49133326288,1.51214349484,-3.33354499402,-6.17071830756,-6.41756499321,-3.46775259637,82.5973462523,2
18,1983.26750378,1.0,29,47.9519570575,48.996933017,45.8304439004,47.239691654,45.5572025356,38.6642553397,-6.6716115717,-5.87482352541,-5.9870478306,-6.41300699804,-6.68894155393,-0.963982533451,-0.744242008296,0.0,-1.42893321124,-0.823368154785,-1.76345021706,27.3138781609,1.17609460409,1.52511544071,1.49134096244,1.55854893281,-3.3332212094,-6.70100927408,-6.56045015711,-3.46854885116,82.5969449425,2
19,1797.2803052,1.0,29,46.9464006024,47.9811707499,45.6890232754,46.8469661848,44.362475267,38.3338016989,-6.32220820188,-5.97271281068,-5.27456542541,-5.83528037317,-6.4191457956,-0.992142778752,-0.500267717226,0.0,-1.42893321124,-0.875948484297,-1.78746172762,26.9381048273,1.17609527112,1.52506761797,1.49133214886,1.50329757822,-3.33363329685,-6.09927749546,-6.39558195122,-3.4676061514,82.5974082834,2
20,2019.55758188,1.0,29,48.1266821546,49.170277046,45.8563763716,47.3089532751,45.7851598287,38.7213771461,-6.70242320926,-5.85592911961,-6.1065543461,-6.48096870982,-6.72761033926,-0.96013722699,-0.749867174931,0.0,-1.42893321124,-0.835043731491,-1.76016563432,27.3161753085,1.17609452205,1.52512966644,1.49134232299,1.5621084538,-3.33323650386,-6.8053673903,-6.58715372497,-3.46868372232,82.5976812565,2
21,1965.70099261,1.0,29,47.8624583431,48.9076412574,45.8175297666,47.2041646454,45.4428507824,38.6350245225,-6.64964358002,-5.88403463593,-5.92502567278,-6.37137417405,-6.66776633871,-0.967330997157,-0.742697268236,0.0,-1.42893321124,-0.822490353827,-1.76627901391,27.3123522091,1.17609465287,1.52510985449,1.49134023239,1.55579867475,-3.33323097664,-6.64766305237,-6.54673967698,-3.4684844555,82.596969275,2
22,1863.17794999,1.0,29,47.3197151936,48.3620464667,45.7405309979,46.9904676025,44.7793601163,38.4571419529,-6.48113875217,-5.93793716185,-5.54381611368,-6.08115750608,-6.52884255802,-0.98448459346,-0.649889237062,0.0,-1.42893321124,-0.840100545949,-1.7808722687,27.166597505,1.17609498919,1.52508123753,1.49133559709,1.530517992,-3.33339219655,-6.32348075799,-6.46045812376,-3.46802297067,82.5971887832,2
23,2049.02466289,1.0,29,48.2614934862,49.3033045563,45.8769146773,47.3623220265,45.9645073889,38.7654910189,-6.71731923263,-5.84068055661,-6.19760173519,-6.52361615119,-6.75548234838,-0.959149114559,-0.75612558617,0.0,-1.42893321124,-0.851375351631,-1.75927655524,27.3174464131,1.17609446843,1.52514308305,1.49134332518,1.56352449266,-3.3332735652,-6.88604220631,-6.60771095305,-3.46879451305,82.5988255694,2
24,1884.51155559,1.0,29,47.4402280253,48.4846599091,45.7571579205,47.0372931859,44.9159759576,38.4968610289,-6.53116259813,-5.92666736621,-5.63028064272,-6.1590854865,-6.56344590354,-0.981802157839,-0.700312135736,0.0,-1.42893321124,-0.827995598281,-1.77854714307,27.2477368508,1.17609490004,1.52508571246,1.49133670068,1.53920528418,-3.33331995532,-6.39570543058,-6.48073759886,-3.46815080113,82.5971143333,2
25,1715.30538823,1.0,29,46.4513478439,47.44571921,45.6206546002,46.7013601264,43.9915336602,38.1615432391,-5.99702960719,-6.01493926041,-4.87693769284,-5.38017864122,-6.2014832423,-0.983532749573,-0.49129452225,0.0,-1.42893321124,-0.875948484297,-1.77853285408,27.2936416804,1.17609581133,1.52505654544,1.49132672259,1.45827810524,-3.33445202458,-5.78836928895,-6.2503026377,-3.46645299446,82.5973788058,2
26,1957.90523675,1.0,29,47.8227401475,48.8680149053,45.8117986664,47.1883982884,45.3921031786,38.6220523214,-6.63989451271,-5.8881223895,-5.89750116347,-6.35289814723,-6.65836909377,-0.968816995447,-0.742011735619,0.0,-1.42893321124,-0.822100798843,-1.76753439179,27.3116750144,1.17609467452,1.52510737541,1.4913399084,1.55457815121,-3.33323531119,-6.62398879421,-6.54065517022,-3.46845587767,82.5969800735,2
27,1858.50052296,1.0,29,47.2932925632,48.335163274,45.7368855187,46.9802010187,44.7494068754,38.4484334822,-6.47017094423,-5.9404080825,-5.5248586279,-6.06407167219,-6.52125571937,-0.985072721745,-0.638833936174,0.0,-1.42893321124,-0.842754575016,-1.7813820562,27.1488075741,1.17609500874,1.52508025639,1.49133535512,1.52861328934,-3.33340803555,-6.30764538343,-6.45601181653,-3.46799494363,82.5972051065,2
28,2182.68362866,1.0,29,48.8347895769,49.8661129891,45.9671022722,47.5884393713,46.7361038634,38.9537544833,-6.74478318037,-5.77218397902,-6.54660617405,-6.66669072341,-6.87060626307,-1.01373631393,-0.780043077427,0.0,-1.42893321124,-0.879072542299,-1.80662736138,27.3082499783,1.17609428282,1.52521736887,1.49134739398,1.56719014503,-3.33358995964,-7.23081464241,-6.695826278,-3.46943310801,82.6155512149,2
29,1945.3147494,1.0,29,47.7585935211,48.80401661,45.8025426885,47.1629349309,45.3101435744,38.6011016483,-6.62414934177,-5.89472429065,-5.85304787473,-6.32305855424,-6.64319213138,-0.971216947805,-0.7409045704,0.0,-1.42893321124,-0.821471650474,-1.76956188209,27.3105813152,1.17609470948,1.52510337158,1.49133938515,1.5526069522,-3.33324231169,-6.5857538298,-6.53082842517,-3.46840972322,82.5969975134,2
30,2198.93868441,1.0,29,48.9016480238,49.9315162887,45.977847717,47.6147424514,46.8268005987,38.9757632179,-6.74511644527,-5.76390386455,-6.58425397515,-6.68031433649,-6.88375991568,-1.02480384276,-0.782616684788,0.0,-1.42893321124,-0.878963431287,-1.81623858295,27.3060097319,1.17609426456,1.52522741014,1.49134785305,1.56742920959,-3.33363955657,-7.27115805235,-6.70615789288,-3.46952097292,82.6184501988,2
31,1807.35341405,1.0,29,47.0043642387,48.0411987558,45.6970226359,46.8679371445,44.4218717441,38.3532073896,-6.35023926722,-5.96742730632,-5.31756077279,-5.87724010818,-6.43829453996,-0.991503834676,-0.517945534196,0.0,-1.42893321124,-0.871776067596,-1.78695652196,26.9542767932,1.17609522247,1.52506952778,1.49133270928,1.50778559207,-3.33358123319,-6.13448744364,-6.4073919751,-3.46768847135,82.5973835995,2
32,1832.6274108,1.0,29,47.1471362094,48.1864593275,45.7167206089,46.923411576,44.5837210064,38.400262717,-6.40950269148,-5.95407594024,-5.41999560103,-5.96956165757,-6.47928924373,-0.988325943867,-0.577681717605,0.0,-1.42893321124,-0.857435293996,-1.78420193754,27.0504028584,1.17609511686,1.52507482925,1.4913340167,1.51807745733,-3.33349564875,-6.22005226443,-6.43141713977,-3.46783991255,82.5972953984,2
33,2177.80329857,1.0,29,48.8147163581,49.8464766559,45.9638761179,47.5805422767,46.7088735657,38.9471466997,-6.74468312272,-5.77466995584,-6.53530300171,-6.66260044344,-6.8666570815,-1.01041345889,-0.779270391461,0.0,-1.42893321124,-0.879105301199,-1.80374174016,27.3089225777,1.1760942883,1.52521435413,1.49134725615,1.56711836958,-3.33357506893,-7.21870215504,-6.69272436978,-3.46940672793,82.6146808396,2
34,1812.5294388,1.0,29,47.033603431,48.0709476048,45.7010567108,46.879298111,44.455017898,38.3628441535,-6.36237620596,-5.96469299398,-5.33853906169,-5.8961472335,-6.44669010965,-0.990853013928,-0.530179292332,0.0,-1.42893321124,-0.868839128111,-1.78639239286,26.9739630698,1.17609520084,1.5250706135,1.49133297703,1.50989332951,-3.3335637058,-6.15201081495,-6.41231224347,-3.46771948597,82.5973655362,2
35,1858.62441448,1.0,29,47.2939924223,48.3358753321,45.7369820769,46.9804729508,44.7502002502,38.4486641445,-6.47046144976,-5.94034263495,-5.5253607569,-6.06452422655,-6.52145667279,-0.985057143926,-0.639126759139,0.0,-1.42893321124,-0.842684277458,-1.7813685534,27.149278778,1.17609500822,1.52508028238,1.49133536153,1.52866373941,-3.33340761602,-6.30806481673,-6.45612958635,-3.46799568599,82.5972046741,2
36,1821.04479865,1.0,29,47.0817064169,48.1198890545,45.7076933868,46.8979886549,44.5095484388,38.378698118,-6.38234334408,-5.96019462802,-5.37305158589,-5.92725237384,-6.46050211803,-0.989782313314,-0.550305713307,0.0,-1.42893321124,-0.864007409208,-1.78546431338,27.0063500344,1.17609516526,1.52507239968,1.49133341753,1.51336088303,-3.33353487054,-6.18083946629,-6.42040684461,-3.46777050981,82.5973358193,2
37,2011.71543357,1.0,29,48.0908044762,49.1348741004,45.8509104607,47.2947501152,45.7374296119,38.7096370103,-6.69845889314,-5.859987258,-6.08232367568,-6.46961883909,-6.72019269144,-0.960400195834,-0.748201608223,0.0,-1.42893321124,-0.830697356389,-1.76040224717,27.3158370263,1.17609453631,1.52512609584,1.49134205628,1.56173159982,-3.33322664063,-6.78389719881,-6.58168277821,-3.46865423731,82.5973767177,2
38,2199.128113,1.0,29,48.90242716,49.9322784673,45.9779729392,47.6150489748,46.8278575348,38.9760196971,-6.74512032898,-5.76380737208,-6.58469270449,-6.68047309952,-6.88391320201,-1.02493281841,-0.782646676369,0.0,-1.42893321124,-0.87896215976,-1.8163505875,27.3059836251,1.17609426435,1.52522752715,1.4913478584,1.56743199553,-3.33364013455,-7.27162819502,-6.70627829254,-3.46952199686,82.6184839821,2
39,1972.14950291,1.0,29,47.8953125266,48.9404194696,45.8222704305,47.2172062948,45.4848282958,38.645754896,-6.65770783474,-5.88065331903,-5.94779345628,-6.38665721412,-6.67553957222,-0.966101805858,-0.743264328598,0.0,-1.42893321124,-0.822812586765,-1.7652405877,27.3129123724,1.17609463497,1.52511190514,1.49134050038,1.55680827006,-3.33322739117,-6.66724597676,-6.55177267251,-3.46850809458,82.5969603428,2
40,2030.70712761,1.0,29,48.1776911129,49.2206110546,45.8641475105,47.3291465658,45.8530200902,38.7380686413,-6.70805946124,-5.85015947618,-6.14100421331,-6.49710534709,-6.73815635296,-0.959763351996,-0.752235188316,0.0,-1.42893321124,-0.841223174424,-1.75982923087,27.3166562601,1.17609450176,1.52513474292,1.4913427022,1.56264424457,-3.33325052687,-6.83589255665,-6.59493202355,-3.46872564253,82.5981142335,2
41,2093.62442134,1.0,29,48.4655365273,49.5046477034,45.9080003308,47.443098043,46.2359580244,38.8322593584,-6.73986503701,-5.81760116756,-6.33540607215,-6.58816498054,-6.79766789345,-0.95765356175,-0.765597974338,0.0,-1.42893321124,-0.876093996582,-1.75793089388,27.3193702872,1.17609438729,1.52516338969,1.49134484204,1.56566773146,-3.33332965922,-7.00814718527,-6.63882524654,-3.46896219981,82.6005575385,2
42,2335.29802002,1.0,29,49.3951769221,50.4091202694,46.0616475397,47.8063227131,47.5075673474,39.140082564,-6.71530271852,-5.69589470316,-6.86137065384,-6.73735722094,-6.93098828894,-1.02601402046,-0.793465159359,0.0,-1.4264337425,-0.843000869536,-1.81982570046,27.2910699808,1.17609419801,1.52534302082,1.49135097877,1.56798136789,-3.33447397983,-7.57354804353,-6.78470993226,-3.47086209817,82.7396185174,2
43,1870.71824954,1.0,29,47.3623100961,48.4053838238,45.7464077343,47.0070179659,44.8276465797,38.4711805424,-6.49881953199,-5.93395388604,-5.57437674473,-6.10870091937,-6.54107300774,-0.983536494555,-0.667711060876,0.0,-1.42893321124,-0.835822088139,-1.78005045995,27.1952759659,1.17609495768,1.52508281918,1.49133598715,1.53358848962,-3.3333666631,-6.34900835406,-6.46762584402,-3.46806815196,82.5971624691,2
44,1952.14374957,1.0,29,47.7933862428,48.8387288779,45.807563072,47.1767460939,45.3545979419,38.61246516,-6.63268942224,-5.8911434615,-5.87715905551,-6.33924335949,-6.65142401915,-0.969915228926,-0.741505089765,0.0,-1.42893321124,-0.821812896544,-1.76846218426,27.3111745307,1.17609469052,1.52510554323,1.49133966896,1.55367611799,-3.33323851467,-6.60649223105,-6.53615838912,-3.4684347571,82.5969880541,2
45,2079.45138024,1.0,29,48.4006951356,49.4406642919,45.8981218413,47.4174288053,46.149695651,38.8110415211,-6.73270036565,-5.82493540302,-6.29161420869,-6.56765246559,-6.7842620481,-0.958128822876,-0.762587811244,0.0,-1.42893321124,-0.868238833613,-1.75835852206,27.3187589129,1.17609441308,1.52515693659,1.49134436001,1.56498664679,-3.3333118335,-6.9693443095,-6.62893765575,-3.46890891182,82.6000071483,2
