Temperature,Metallicity,Altitude,Degree,CO Degree,CH4 Degree,NH3 Degree,H2O Degree,Average shortest path length,Average clustering coefficient,CO clustering coefficient,CH4 clustering coefficient,NH3 clustering coefficient,H2O clustering coefficient,Average node betweenness centrality,CO node betweenness centrality,CH4 node betweenness centrality,NH3 node betweenness centrality,H2O node betweenness centrality,Edge betweenness centrality,Average neighbor degree,CO neighbor degree,CH4 neighbor degree,NH3 neighbor degree,H2O neighbor degree,CO abundance,CH4 abundance,NH3 abundance,H2O abundance,Phi distribution,kzz
1434.13781181,1,29,45.2493291217,45.0629163257,45.2915841725,46.2508880055,43.6528789768,37.3265635782,-4.96102133871,-6.94208604854,-3.82581352768,-3.90593648041,-5.62987956996,-1.0350327074,-0.47598158348,0,-1.48006532268,-0.781956583998,-1.8155666212,27.6170160868,1.17610723436,1.52498325588,1.49128691273,1.4234753652,-3.36735282898,-4.50924718368,-5.43415222973,-3.4261493477,108.885344563,1
1128.41714245,1,29,44.5739816416,39.4563669428,43.8654318891,45.6734453606,43.7543400808,33.4075683949,-4.9967399136,-10.7729626153,-3.94368605225,-3.73180041252,-5.81220166462,-0.698558746434,-0.538569659149,-1.19580707185,-1.67058614847,-0.761439066088,-1.0667847717,27.0156566853,1.18047788078,1.51621830711,1.49092861073,1.42324513813,-4.98414112213,-3.3653882557,-3.87494407317,-3.11213149678,91.3338486852,1
1317.71744618,1,29,45.5502691281,43.6715067714,45.0239620324,46.6413406073,44.2618904681,36.6792438302,-5.12331522326,-8.39579239915,-4.05315158181,-3.90292963964,-5.74941727727,-1.04698882849,-0.480744044954,0,-1.58415525942,-0.805252222162,-1.81951358413,27.3548312335,1.17632715773,1.52378935042,1.49122677582,1.42324516895,-3.47397608722,-3.92998251154,-4.35560165349,-3.33216396795,108.291109152,1
1274.61633818,1,29,45.5009864845,42.9761022258,44.8611920824,46.5986488704,44.32856238,36.2467567852,-5.11364714272,-8.88354185482,-4.05413275071,-3.86894526647,-5.76128526908,-1.04432767711,-0.475295308152,0,-1.60393317138,-0.803941086832,-1.80693079557,27.2499705277,1.17668969029,1.52259840119,1.49117523891,1.42324431499,-3.62198741845,-3.73964705019,-4.10555781627,-3.27340775232,105.955530425,1
1260.06968984,1,29,45.4379501529,42.7063242749,44.7940637401,46.5357682069,44.3070667371,36.0620126641,-5.09514332653,-9.03285596157,-4.03659741503,-3.84751335812,-5.7600877287,-1.04210103471,-0.471429912021,0,-1.60538728727,-0.802617407772,-1.80001935126,27.22156373,1.17687084223,1.52205979059,1.49115206855,1.42324438495,-3.69497686424,-3.68099995503,-4.06324935822,-3.24977769379,104.688755711,1
1226.38576851,1,29,45.2919845128,42.0816319703,44.6386227236,46.3901630287,44.257291866,35.6342229564,-5.05229626829,-9.37860465277,-3.99599295044,-3.79788606956,-5.75731472869,-1.03694506713,-0.462479279813,0,-1.60875440829,-0.799552323618,-1.7840153522,27.1557855305,1.17729031394,1.5208125949,1.49109841575,1.42324454695,-3.86398973182,-3.54519794116,-3.96528075822,-3.19506041364,101.755438096,1
1366.43541328,1,29,45.3833208244,44.289221024,45.1494373986,46.4570161019,43.975420926,36.9820195832,-5.06111449112,-7.77105994835,-3.96631539907,-3.89354223157,-5.71103760387,-1.04362234159,-0.477179543072,0,-1.53674874936,-0.802506181762,-1.82095012453,27.5068667065,1.17619950093,1.5244797566,1.49125731148,1.42324785281,-3.41720556203,-4.17195005548,-4.84014658073,-3.38034493293,108.635037488,1
1209.07491281,1,29,45.2169697868,41.7605898258,44.5587384079,46.3153335513,44.2317115423,35.4143730813,-5.03027628923,-9.55629197259,-3.9751254861,-3.77238159155,-5.7558896273,-1.03429531,-0.457879366962,0,-1.61048484061,-0.797977114218,-1.77579056995,27.1219807693,1.17750588902,1.52017163555,1.49107084248,1.4232446302,-3.95084889925,-3.47540651032,-3.91493269211,-3.1669400849,100.247946214,1
1216.88150522,1,29,45.250798813,41.9053686404,44.5947634493,46.3490790368,44.2432473765,35.5135177103,-5.0402065321,-9.47616118609,-3.98453598501,-3.78388322197,-5.75653229834,-1.03549025809,-0.45995376729,0,-1.60970447596,-0.798687478741,-1.77949966,27.1372255381,1.17740867217,1.52046068587,1.49108327706,1.42324459266,-3.91167844292,-3.50688001248,-3.93763791464,-3.1796213728,100.927772497,1
1101.170207,1,29,44.3442064263,38.6433603751,43.6174754272,45.4440518616,43.5777401597,32.6875775537,-4.98836869066,-11.2006140123,-3.93588302443,-3.72144299246,-5.83392035902,-0.571294421188,-0.570201074364,-1.65097300427,-1.69311751262,-0.747845728117,-0.798553587292,26.9819314681,1.18156610853,1.51484143004,1.49087997436,1.42324531486,-5.36011624598,-3.33743773098,-3.86976952128,-3.09688059792,88.2416385844,1
