Temperature,Metallicity,Altitude,Degree,CO Degree,CH4 Degree,NH3 Degree,H2O Degree,Average shortest path length,Average clustering coefficient,CO clustering coefficient,CH4 clustering coefficient,NH3 clustering coefficient,H2O clustering coefficient,Average node betweenness centrality,CO node betweenness centrality,CH4 node betweenness centrality,NH3 node betweenness centrality,H2O node betweenness centrality,Edge betweenness centrality,Average neighbor degree,CO neighbor degree,CH4 neighbor degree,NH3 neighbor degree,H2O neighbor degree,CO abundance,CH4 abundance,NH3 abundance,H2O abundance,Phi distribution,kzz
0,1434.13781181,1.0,29,46.625121247,44.521940659,46.2509347664,47.7151592386,45.3440030267,37.7540305333,-4.96292144293,-8.55870635058,-3.8873466863,-3.75341479103,-5.50835469354,-1.0551023352,-0.472064473991,0.0,-1.57954346185,-0.789349431753,-1.82599572315,27.3362803564,1.17625357314,1.52379065978,1.49120633013,1.42324593414,-3.90844433359,-3.5559846809,-3.97081573254,-3.19677851342,25.6585565287,3
1,1128.41714245,1.0,29,44.5457904106,36.4074008054,43.8955564678,45.6442076523,43.7430611896,31.9272009725,-4.96493206952,-13.3758008569,-3.91136435784,-3.70040195112,-5.79082072264,-1.04164356778,-0.377940391611,-1.15398914316,-1.67172581636,-0.780962564699,-1.74060292306,27.1898615052,1.18020838725,1.51673431967,1.49091195909,1.42324496352,-8.03251265329,-3.33233863089,-3.90438989066,-3.09397524287,85.1346527999,3
2,1317.71744618,1.0,29,45.9625157735,42.0776411224,45.609603362,47.0530149812,44.9004747049,35.7457068545,-4.89407659301,-10.183585373,-3.82920993225,-3.65484605376,-5.55949680587,-1.04557404639,-0.437978471561,0.0,-1.60616394783,-0.80930465155,-1.81995207243,27.2211862423,1.17651990936,1.52268134048,1.49110683961,1.42324165269,-5.06807513775,-3.35016796343,-3.94550076289,-3.10392185694,51.316802983,3
3,1274.61633818,1.0,29,45.6732491489,40.9524375949,45.2683626927,46.7654393854,44.6714896193,34.8477864101,-4.9046095887,-10.8791538375,-3.84334987392,-3.65736359241,-5.60404676947,-1.04255749762,-0.433532885971,0.0,-1.61242459582,-0.808006046555,-1.81355609286,27.1913845328,1.17680849112,1.52191205444,1.49107039428,1.42324243912,-5.64577924282,-3.3361007698,-3.94016119613,-3.09612291506,63.2001179617,3
4,1260.06968984,1.0,29,45.5709801247,40.5413457979,45.1422204948,46.6638871261,44.5882054269,34.5367432567,-4.91098584309,-11.1232467124,-3.85078111126,-3.6614840028,-5.62173482839,-1.04087854697,-0.433667482847,0.0,-1.61336208203,-0.806397208279,-1.80963990342,27.1874181083,1.17694619818,1.52157601145,1.49105765912,1.42324277662,-5.86001182442,-3.33539120619,-3.93638642701,-3.09571668878,67.0263268648,3
5,1226.38576851,1.0,29,45.3341680644,39.5894300423,44.8501282018,46.4287347919,44.3953542547,33.8164980934,-4.92575056732,-11.6884631802,-3.86798873242,-3.6710251408,-5.6626929358,-1.0369908032,-0.433979152621,0.0,-1.61553290591,-0.802671815277,-1.80057165525,27.1782335368,1.17726506984,1.52079787719,1.49102816985,1.42324355814,-6.35608440797,-3.33374815521,-3.92764564884,-3.09477603953,75.8862179308,3
6,1366.43541328,1.0,29,46.2672088097,43.1991273509,45.942661793,47.3564973558,45.1305037887,36.7222834038,-4.89570844907,-9.44217796743,-3.82598573787,-3.66769413398,-5.52186804727,-1.04581274256,-0.450848399126,0.0,-1.59344719306,-0.805155902099,-1.81874850324,27.2841007738,1.1763871387,1.52318425434,1.49114594799,1.42324110964,-4.50748539642,-3.38544413206,-3.94207092177,-3.12341758233,37.0000057596,3
7,1209.07491281,1.0,29,45.212465506,39.1002210774,44.7000160018,46.3078852006,44.2962440953,33.4463493816,-4.93333846091,-11.9789394765,-3.87683208068,-3.67592852665,-5.68374214441,-1.03499281221,-0.434139326088,0.0,-1.61664853668,-0.800757259663,-1.79591129715,27.1735133978,1.1774289445,1.52039797809,1.49101301471,1.42324395978,-6.61102624884,-3.33290375772,-3.92315358428,-3.09429262065,80.4394970539,3
8,1216.88150522,1.0,29,45.2673491169,39.3208372652,44.7677113706,46.3623841531,44.3409393219,33.6132735461,-4.92991658544,-11.8479447938,-3.87284403892,-3.67371727058,-5.67424968517,-1.03589383649,-0.434067093439,0.0,-1.6161454261,-0.801620657498,-1.79801295618,27.1756420159,1.17735504274,1.52057831864,1.49101984915,1.42324377865,-6.49605636668,-3.33328455155,-3.92517934879,-3.09451062571,78.386126911,3
9,1101.170207,1.0,29,44.3163152605,35.4800367079,43.6193046422,45.4157032711,43.5522770162,31.4228199494,-4.97544360298,-13.8495330948,-3.92274393626,-3.70873896371,-5.82737838486,-1.04457375911,-0.356517153323,-1.59323771152,-1.69246753817,-0.773810045214,-1.72048055776,27.197026028,1.18123364048,1.51541959968,1.49087651787,1.42324526544,-8.52270862286,-3.33229201596,-3.8981441255,-3.09395089979,86.0132263122,3
10,1133.88890245,1.0,29,44.5918738665,36.5936350988,43.9510336679,45.6900961572,43.7813746803,32.0284913327,-4.96282113163,-13.2806654199,-3.9090790982,-3.69872770295,-5.78347917209,-1.04105512348,-0.382242630243,-1.06577875524,-1.66756044063,-0.782398941647,-1.74464391893,27.1884227177,1.18000249475,1.51699834321,1.49091907644,1.42324490289,-7.93407095137,-3.33234799215,-3.9056441722,-3.09398013148,84.9582166862,3
11,1140.9267406,1.0,29,44.6511469164,36.833171704,44.0223890553,45.7491184591,43.8306539153,32.1587721127,-4.96010602001,-13.1583011702,-3.906139772,-3.69657426645,-5.77403638869,-1.04029825993,-0.38777621709,-0.952321580012,-1.66220288836,-0.784246425543,-1.74984149244,27.1865721334,1.17973767355,1.5173379332,1.49092823085,1.42324482491,-7.80745414708,-3.33236003271,-3.90725744296,-3.09398641926,84.731282608,3
12,1098.76408881,1.0,29,44.293767125,35.3947786069,43.5928034604,45.3932265456,43.5333842076,31.3778197722,-4.97629712168,-13.8909673308,-3.92364498227,-3.70945713127,-5.83069429695,-1.04453558877,-0.355508008649,-1.61272192668,-1.69340721891,-0.7735468862,-1.71687204334,27.196554115,1.1814919444,1.51523985155,1.49087240135,1.42324528362,-8.56567681634,-3.3322899508,-3.89767921576,-3.09394986978,85.8541935743,3
13,1139.46932177,1.0,29,44.638872457,36.7835676707,44.0076125454,45.7368959254,43.8204490081,32.1317931374,-4.96066827431,-13.1836407642,-3.9067484574,-3.69702020721,-5.77599183155,-1.04045499374,-0.386630303604,-0.975816667518,-1.66331234802,-0.783863842461,-1.74876516171,27.1869553586,1.1797925136,1.51726760978,1.49092633512,1.42324484106,-7.83367437415,-3.33235753931,-3.90692336151,-3.09398511716,84.7782768683,3
14,1286.12606455,1.0,29,45.7541673409,41.2777052429,45.3681700261,46.8457904524,44.7373864666,35.0938926951,-4.89956451292,-10.6860205376,-3.8374700653,-3.65410340526,-5.59005146875,-1.04388593164,-0.433426389053,0.0,-1.61168282978,-0.809279005651,-1.81665469454,27.1945228819,1.17669953333,1.52217794131,1.4910804707,1.42324217208,-5.47627226538,-3.33666219692,-3.94314790198,-3.09644433297,60.1727114796,3
15,1262.72623048,1.0,29,45.5896567169,40.6164202781,45.165256858,46.6824328211,44.6034149677,34.5935466355,-4.90982139761,-11.0786699394,-3.84942400249,-3.66073152447,-5.61850459651,-1.0411851606,-0.433642902472,0.0,-1.61319087625,-0.806691017832,-1.81035508647,27.1881424654,1.17692104982,1.52163738036,1.49105998484,1.42324271499,-5.82088820331,-3.33552078824,-3.93707578357,-3.09579087471,66.3275762533,3
