Temperature,Metallicity,Altitude,Degree,CO Degree,CH4 Degree,NH3 Degree,H2O Degree,Average shortest path length,Average clustering coefficient,CO clustering coefficient,CH4 clustering coefficient,NH3 clustering coefficient,H2O clustering coefficient,Average node betweenness centrality,CO node betweenness centrality,CH4 node betweenness centrality,NH3 node betweenness centrality,H2O node betweenness centrality,Edge betweenness centrality,Average neighbor degree,CO neighbor degree,CH4 neighbor degree,NH3 neighbor degree,H2O neighbor degree,CO abundance,CH4 abundance,NH3 abundance,H2O abundance,Phi distribution,kzz
10,1990.92067401,1.0,29,47.9915481451,49.035832564,45.836618394,47.285055708,45.6087910073,38.6775977675,-6.67476413546,-5.87069678891,-6.00667255037,-6.4043930921,-6.67859600161,-0.962453731103,-0.744915002411,0.0,-1.42893321124,-0.823302050501,-1.76220930349,27.312510375,1.17609458464,1.5251178455,1.49134128034,1.55893204881,-3.33321898644,-6.72370244733,-6.53653729871,-3.46857405642,28.8976887068,3
11,1912.40653539,1.0,29,47.5941894153,48.6367312713,45.7801058206,47.2019763079,45.1075049109,38.5482688158,-6.55649513158,-5.91143541043,-5.71082132757,-6.15386637933,-6.53260843425,-0.976814622308,-0.738010732461,0.0,-1.42893321124,-0.815499955454,-1.77477923403,27.2979151825,1.17609480986,1.52509276251,1.49133801661,1.5424622223,-3.33327127671,-6.48406242051,-6.39954781194,-3.46827442682,28.8962595923,3
12,2136.53539933,1.0,29,48.6449989427,49.6804337818,45.9366635436,47.5165521753,46.478642744,38.8913499786,-6.74343124803,-5.79568584611,-6.43901332435,-6.62536865184,-6.83149671712,-0.982315513771,-0.77273658617,0.0,-1.42893321124,-0.879382309305,-1.77934102881,27.3145268384,1.17609433473,1.52518886144,1.49134609076,1.56649834563,-3.33344787761,-7.11621458027,-6.66371012753,-3.46918558697,28.9043103438,3
13,1958.48651948,1.0,29,47.8273994367,48.8709640037,45.813273076,47.250735646,45.4017099516,38.624172037,-6.62590726438,-5.88752589471,-5.88445654639,-6.30090062235,-6.61828860472,-0.968386208651,-0.742062851672,0.0,-1.42893321124,-0.820079008627,-1.76740193601,27.3064811077,1.17609467768,1.52510748373,1.4913399321,1.55212837106,-3.33324058753,-6.62470726254,-6.47994700477,-3.46845027957,28.8970983402,3
14,2156.19060276,1.0,29,48.7258376848,49.7595177428,45.949641147,47.5477455825,46.5883051608,38.9179450971,-6.74393058335,-5.78567506882,-6.48469585949,-6.64241856825,-6.84778918744,-0.995698090481,-0.77584852728,0.0,-1.42893321124,-0.879250375023,-1.79096267552,27.3118421563,1.17609431263,1.52520100363,1.49134664585,1.56679104128,-3.33350790587,-7.1650127641,-6.67681489929,-3.46929187235,28.9064997988,3
15,1981.27249476,1.0,29,47.9427188728,48.9867891576,45.8296738685,47.2748465283,45.5471906612,38.6617052298,-6.66023069512,-5.8757029385,-5.97031698844,-6.37360721487,-6.66065637643,-0.964218463608,-0.744066573895,0.0,-1.42893321124,-0.822343293099,-1.76375395449,27.3107168505,1.17609461231,1.52511476319,1.49134087928,1.55690816062,-3.33322541211,-6.69425437626,-6.51970339914,-3.46853723655,28.8975130906,3
16,1771.45405202,1.0,29,46.9491852799,47.8121856279,45.6981854466,47.4439386232,44.6636900516,38.3114459102,-5.99234644896,-5.99088400566,-4.96888403343,-5.19925826257,-5.87510795917,-1.02159691363,-0.520164527342,0.0,-1.42893321124,-0.963876467918,-1.81025863319,26.9848727316,1.17609596124,1.5250566554,1.4913304002,1.45532453083,-3.33418230427,-5.97060102515,-5.7069050257,-3.46684615403,28.8511184066,3
17,1818.05522735,1.0,29,47.1060865607,48.1026324322,45.7148433522,47.3025395921,44.6659016876,38.3832751851,-6.23957043741,-5.95648468319,-5.24902069415,-5.58092819693,-6.15515490408,-1.01919351982,-0.562979884707,0.0,-1.42893321124,-0.936864155519,-1.81012477259,26.9536906114,1.17609527811,1.52507022901,1.49133325509,1.48015527029,-3.33361927433,-6.16124745279,-6.00645342366,-3.46765071481,28.8851968686,3
18,1983.26750378,1.0,29,47.9528155798,48.9969301423,45.8311098276,47.2769575386,45.5599281159,38.6649914204,-6.66323585743,-5.87466778841,-5.97783443522,-6.3799729862,-6.66436585499,-0.963853559809,-0.744242008296,0.0,-1.42893321124,-0.822541540832,-1.7634345582,27.3110877078,1.17609460659,1.52511540054,1.49134096221,1.55732665152,-3.33322408344,-6.70034352178,-6.52318424052,-3.46854485,28.8975494037,3
19,1797.2803052,1.0,29,47.0063550752,47.981063454,45.7020268444,47.3386747074,44.5934511155,38.3476153299,-6.15656536508,-5.96745902347,-5.1395937629,-5.43824569136,-6.05782982966,-1.0274180339,-0.524227176417,0.0,-1.42893321124,-0.963876467918,-1.81678742928,26.8885028168,1.17609542944,1.52506523402,1.49133213672,1.46588794023,-3.33374064001,-6.08628169436,-5.90386905003,-3.46745916704,28.879789819,3
20,2019.55758188,1.0,29,48.126922798,49.1702764837,45.8567239114,47.3267190911,45.7856775568,38.7217647394,-6.69901398476,-5.85587614093,-6.10214155127,-6.46471702597,-6.71615694712,-0.96013722699,-0.749867174931,0.0,-1.42893321124,-0.835043731491,-1.76016563432,27.3152384244,1.17609452284,1.52512965363,1.49134232295,1.5618375016,-3.33323706518,-6.80502032784,-6.56938831625,-3.46868289056,28.8983207264,3
21,1965.70099261,1.0,29,47.8639117634,48.9076364502,45.8184658788,47.2583696099,45.4477719111,38.6360557597,-6.63677471534,-5.88378252192,-5.91164159528,-6.32392091231,-6.63170304702,-0.967066621306,-0.742697268236,0.0,-1.42893321124,-0.820795924154,-1.76624691568,27.3078222245,1.17609465698,1.52510978855,1.49134023199,1.55364174334,-3.3332357827,-6.64672720143,-6.49253463534,-3.4684778118,28.8972296581,3
22,1863.17794999,1.0,29,47.3402846244,48.3620064684,45.7458627537,47.2399357601,44.865451947,38.4628754858,-6.40379361235,-5.93522312149,-5.47756781435,-5.87461673667,-6.35029632566,-0.997107228759,-0.658759514615,0.0,-1.42893321124,-0.869356333189,-1.79175555216,27.1419672227,1.17609503987,1.52508045453,1.49133559303,1.51303140245,-3.3334322,-6.3181534193,-6.21099038855,-3.46796808934,28.8911641855,3
