Temperature,Metallicity,Altitude,Degree,CO Degree,CH4 Degree,NH3 Degree,H2O Degree,Average shortest path length,Average clustering coefficient,CO clustering coefficient,CH4 clustering coefficient,NH3 clustering coefficient,H2O clustering coefficient,Average node betweenness centrality,CO node betweenness centrality,CH4 node betweenness centrality,NH3 node betweenness centrality,H2O node betweenness centrality,Edge betweenness centrality,Average neighbor degree,CO neighbor degree,CH4 neighbor degree,NH3 neighbor degree,H2O neighbor degree,CO abundance,CH4 abundance,NH3 abundance,H2O abundance,Phi distribution,kzz
0,1922.33753161,1.0,29,47.6414983937,48.6872229684,45.7856342478,47.115323788,45.160462411,38.562850155,-6.5956886049,-5.90677764771,-5.77219645366,-6.26958536784,-6.61624989778,-0.975596780491,-0.738884030953,0.0,-1.42893321124,-0.820323475768,-1.77326198398,27.3086770119,1.17609477321,1.52509606602,1.49133843015,1.54905832147,-3.33325398266,-6.51599281131,-6.51403624232,-3.46832379644,108.908128487,1
1,2113.73293514,1.0,29,48.551196826,49.5886928088,45.9215157825,47.4768274958,46.3513947464,38.8603987963,-6.74337735052,-5.80730664591,-6.38693213259,-6.60894604571,-6.81483949524,-0.966790071504,-0.769126350033,0.0,-1.42893321124,-0.879535369373,-1.7658584829,27.317752782,1.17609436027,1.52517477721,1.49134544673,1.56617631093,-3.33337203805,-7.05969684128,-6.65204548941,-3.46906047523,108.911924424,1
2,2019.90426145,1.0,29,48.128267746,49.1718448212,45.8566179838,47.3094005172,45.7872660072,38.7218984359,-6.70263287394,-5.8557502439,-6.10767070266,-6.48163717684,-6.72805498637,-0.960125601869,-0.749940805002,0.0,-1.42893321124,-0.835235872646,-1.76015517433,27.3161994917,1.17609452141,1.52512982414,1.49134233456,1.56212772544,-3.33323422906,-6.80631465048,-6.58757433153,-3.46868011846,108.9100281,1
3,1988.84878454,1.0,29,47.9803863219,49.0253042371,45.8345451186,47.2506315994,45.5935139303,38.6735412877,-6.67866556498,-5.87189822018,-6.00683723307,-6.42654367039,-6.69589551192,-0.962918650255,-0.744732807401,0.0,-1.42893321124,-0.823647052145,-1.76255144386,27.3143859163,1.17609458857,1.52511721536,1.49134119412,1.55943248874,-3.33321691273,-6.71795758011,-6.56515119899,-3.46856340902,108.909577424,1
4,1913.83681924,1.0,29,47.5981855906,48.6440132633,45.7793830162,47.0980302814,45.1051146879,38.5487028726,-6.58508343298,-5.9112355397,-5.74220733618,-6.24952474161,-6.60607050064,-0.977217154997,-0.738136506825,0.0,-1.42893321124,-0.819898694012,-1.77463088348,27.3079473647,1.1760947968,1.52509336295,1.49133807689,1.54773241332,-3.33325872052,-6.49017997011,-6.50750330954,-3.46829317188,108.9079433,1
5,2119.9272059,1.0,29,48.5766740021,49.6136153202,45.9256086814,47.4868525122,46.3859575019,38.8687832291,-6.74350399345,-5.80415136058,-6.40127887138,-6.6141352556,-6.81984958869,-0.971007545209,-0.770107067729,0.0,-1.42893321124,-0.87949379073,-1.76952100548,27.3168989359,1.17609435331,1.52517860371,1.49134562163,1.56626739758,-3.33339148621,-7.0750724021,-6.65598092302,-3.46909311843,108.912402691,1
6,1959.97877645,1.0,29,47.8332879468,48.8785560023,45.8133147677,47.1918996189,45.4055427177,38.6254944722,-6.64264841896,-5.88703805458,-5.90498858488,-6.3584140342,-6.66132437661,-0.96842174494,-0.742194075744,0.0,-1.42893321124,-0.822204413905,-1.76720048243,27.3119078978,1.17609466872,1.52510803524,1.49133999439,1.55492945685,-3.33323300338,-6.63029234674,-6.54296413819,-3.4684594023,108.908948496,1
7,1882.7437035,1.0,29,47.4300975456,48.4745003965,45.755742299,47.0303639305,44.9039546289,38.4935293144,-6.52783849864,-5.92762048235,-5.62384128696,-6.15512473817,-6.56265558318,-0.979159343907,-0.696424876856,0.0,-1.42893321124,-0.829575631448,-1.77600337225,27.2413320374,1.17609490708,1.52508534711,1.49133660923,1.53869036276,-3.33332484408,-6.38975921011,-6.48210710874,-3.46814018336,108.907719925,1
8,1864.27843829,1.0,29,47.3256739346,48.3683725692,45.7413334832,46.9880780828,44.7851039635,38.4591315246,-6.48505469808,-5.93738875857,-5.54941647924,-6.08905195476,-6.53392912605,-0.978415294415,-0.653092957421,0.0,-1.42893321124,-0.840670399833,-1.77508771938,27.1713205412,1.17609498399,1.52508147778,1.49133565404,1.53132424694,-3.33338734801,-6.32726285003,-6.46631047747,-3.46802981723,108.907803452,1
9,2046.91512194,1.0,29,48.2518448617,49.2937858956,45.8754435269,47.3583670121,45.951667298,38.7623365375,-6.71627853716,-5.84177257378,-6.19112020887,-6.52069007696,-6.75357568583,-0.95921985328,-0.755677548075,0.0,-1.42893321124,-0.850206175032,-1.75934020419,27.3173616949,1.17609447227,1.52514212285,1.49134325331,1.56342493721,-3.33326616214,-6.88026763886,-6.60637372756,-3.4687839811,108.910310022,1
10,1990.92067401,1.0,29,47.9909430066,49.0358357936,45.8360687392,47.2548465678,45.6070039015,38.6769894229,-6.68125037706,-5.87081169248,-6.01414651892,-6.43143307241,-6.69837654936,-0.96252371431,-0.744915002411,0.0,-1.42893321124,-0.823750584745,-1.76221780024,27.3145637542,1.17609458282,1.52511787419,1.49134128022,1.55975565403,-3.33321575796,-6.72424897682,-6.56674347903,-3.46857087318,108.90962256,1
11,1912.40653539,1.0,29,47.5908980128,48.6367430322,45.7783312178,47.0951205697,45.0958021796,38.5463225274,-6.58329906416,-5.91198560047,-5.73716152962,-6.24614944923,-6.60435777038,-0.97748979044,-0.738010732461,0.0,-1.42893321124,-0.819827222533,-1.7748612071,27.3078245982,1.17609480077,1.52509290815,1.49133801745,1.5475093232,-3.33325951769,-6.48583684118,-6.50640411363,-3.46828801916,108.907912142,1
12,2136.53539933,1.0,29,48.6449838781,49.680438019,45.9365826377,47.5137317715,46.4786278015,38.8912637254,-6.7438435508,-5.79569135115,-6.439745613,-6.62804866119,-6.83328274398,-0.982315513771,-0.77273658617,0.0,-1.42893321124,-0.879382309305,-1.77934102881,27.314609588,1.17609433465,1.52518886339,1.4913460906,1.5665116208,-3.33344363096,-7.11629764036,-6.66653268047,-3.46918064198,108.913685029,1
